PaymentID,CustomerID,AccountID,TransactionID,PaymentType,PaymentAmount,PaymentDateTime,Status,FraudScore,FraudFlag
9151,1688,18,20518.0,UPI,28907.79,2022-11-09 03:03:00,Success,41,0
8163,1688,18,20518.0,LoanEMI,28907.79,2022-11-11 07:56:00,Success,28,0
2586,5966,19,11590.0,LoanEMI,89989.93,2020-12-24 01:53:00,Success,78,0
12453,5966,19,,Electricity,16608.38,2021-08-11 17:39:00,Success,25,0
17863,5966,19,44999.0,CreditCard,89919.02,2021-10-02 09:29:00,Failed,100,1
13013,5966,19,45344.0,CreditCard,68549.4,2023-01-01 13:41:00,Success,29,0
15954,5966,19,45344.0,LoanEMI,68549.4,2023-01-04 22:53:00,Failed,20,0
18490,88,21,42550.0,UPI,3740.74,2021-08-31 08:13:00,Success,62,0
8571,2229,22,30758.0,UPI,11025.41,2021-04-30 21:58:00,Success,69,0
16155,2229,22,45299.0,Bill,24544.53,2021-08-28 16:58:00,Success,20,0
6724,2229,22,29464.0,LoanEMI,92682.21,2022-10-07 06:10:00,Failed,72,0
4034,9718,24,5360.0,LoanEMI,98233.0,2020-10-10 18:27:00,Success,73,0
261,9718,24,17049.0,Bill,69015.86,2021-01-01 11:15:00,Success,44,0
8060,8955,25,,Broadband,46921.41,2021-12-13 10:03:00,Success,62,0
4372,3339,26,20897.0,Bill,65516.87,2022-08-31 08:13:00,Failed,24,0
14002,3540,27,34199.0,CreditCard,34538.13,2022-01-23 13:53:00,Success,51,0
12976,3724,28,,UPI,20161.9,2020-10-10 02:07:00,Success,20,0
10481,3724,28,45384.0,LoanEMI,70611.88,2020-10-30 11:17:00,Failed,28,0
6180,3724,28,24195.0,CreditCard,70848.56,2020-11-13 00:28:00,Success,33,0
9792,9524,29,,Broadband,36486.3,2020-05-27 21:09:00,Success,4,0
11849,9524,29,47806.0,LoanEMI,21506.5,2023-01-30 22:16:00,Success,38,0
2325,9524,29,47806.0,Bill,21506.5,2023-02-01 22:21:00,Failed,40,0
10733,2933,30,11829.0,Bill,46760.25,2020-07-31 03:13:00,Success,32,0
4346,2933,30,,Water,41457.65,2021-03-05 02:54:00,Success,33,0
4794,2933,30,,UPI,23663.12,2021-10-30 04:00:00,Success,20,0
10511,5662,31,,Broadband,17620.88,2022-02-26 09:29:00,Success,24,0
7476,2091,33,,UPI,38728.41,2021-02-05 15:39:00,Failed,14,0
12105,4491,34,,Broadband,16199.85,2021-12-14 22:53:00,Success,0,0
8306,4491,34,7901.0,LoanEMI,8655.5,2022-10-28 01:10:00,Success,58,0
1518,4351,36,,UPI,48768.9,2021-12-11 08:29:00,Success,37,0
17626,4351,36,23121.0,UPI,33217.33,2022-03-21 02:44:00,Success,25,0
2268,4351,36,2792.0,LoanEMI,18275.58,2022-08-13 08:42:00,Failed,22,0
1483,3345,37,,UPI,30868.88,2020-05-24 22:51:00,Success,13,0
1618,3345,37,,Broadband,14423.58,2020-07-15 05:13:00,Failed,35,0
5666,1858,38,,Electricity,20738.6,2021-10-24 08:42:00,Success,8,0
11270,1899,39,43535.0,Bill,8729.12,2020-05-30 23:10:00,Failed,31,0
13414,1899,39,,Water,11498.31,2020-12-24 01:54:00,Failed,18,0
15386,1899,39,46654.0,UPI,58419.45,2021-03-03 03:57:00,Success,13,0
19626,1899,39,41134.0,CreditCard,42750.17,2022-07-29 19:12:00,Failed,17,0
5766,4197,40,33643.0,CreditCard,87600.94,2020-03-17 21:41:00,Failed,69,0
18288,4197,40,,Water,5206.98,2021-03-10 17:57:00,Success,6,0
17512,1382,41,,UPI,47349.62,2020-04-28 13:55:00,Success,61,0
8223,1382,41,46708.0,CreditCard,49899.6,2021-05-25 11:59:00,Failed,29,0
5462,1382,41,46708.0,UPI,49899.6,2021-05-26 17:13:00,Failed,50,0
19952,1382,41,,UPI,39559.89,2021-06-06 05:55:00,Failed,33,0
9515,7647,42,,UPI,29624.93,2021-03-20 16:27:00,Success,18,0
10502,7647,42,,Electricity,44992.15,2021-05-05 10:19:00,Success,50,0
16689,7647,42,28819.0,CreditCard,64627.26,2023-01-28 16:45:00,Failed,39,0
17102,101,45,,Broadband,39677.07,2021-02-07 12:11:00,Failed,15,0
17870,7618,46,,UPI,9474.21,2021-01-08 04:33:00,Failed,18,0
16683,2954,48,,Broadband,22833.24,2020-10-08 03:33:00,Success,25,0
14439,2787,49,19653.0,Bill,25188.48,2020-02-16 10:09:00,Success,25,0
3673,2787,49,47320.0,Bill,37019.46,2022-09-04 02:25:00,Failed,12,0
3814,9917,50,,Broadband,28251.89,2020-08-19 11:22:00,Success,6,0
18215,4118,51,4068.0,UPI,33411.62,2022-07-04 09:59:00,Success,47,0
1666,6916,52,,Broadband,40772.32,2020-07-16 13:39:00,Success,27,0
5002,6916,52,,Broadband,22114.83,2020-12-15 12:03:00,Failed,26,0
10401,6916,52,3706.0,UPI,49047.49,2021-05-20 11:15:00,Success,18,0
1153,6916,52,,Broadband,10298.61,2021-10-18 08:32:00,Failed,10,0
7460,6916,52,702.0,LoanEMI,28262.1,2022-12-10 10:59:00,Failed,49,0
4394,6916,52,8787.0,CreditCard,84764.77,2023-01-15 04:57:00,Failed,96,1
10002,5597,54,46480.0,CreditCard,13516.74,2021-02-04 00:46:00,Failed,22,0
5837,5597,54,11465.0,UPI,35296.8,2021-02-15 02:07:00,Success,44,0
5176,1107,55,19817.0,Bill,94208.03,2021-07-10 00:52:00,Success,80,0
9497,5249,56,,UPI,9471.98,2020-02-15 15:33:00,Success,33,0
1088,5249,56,18282.0,CreditCard,5435.51,2020-03-05 17:56:00,Success,72,0
19302,5249,56,5145.0,CreditCard,62118.5,2020-07-25 06:53:00,Failed,49,0
14519,589,57,,Electricity,4506.58,2020-04-07 15:24:00,Failed,19,0
16313,589,57,34383.0,CreditCard,90547.12,2022-08-01 16:53:00,Failed,77,0
15796,589,57,37243.0,LoanEMI,40210.26,2022-08-02 11:27:00,Failed,68,0
13875,8863,58,49313.0,Bill,30474.04,2021-04-26 14:43:00,Failed,33,0
16698,9037,59,2206.0,LoanEMI,96770.33,2020-03-19 12:55:00,Failed,65,0
16830,9037,59,,Broadband,10674.61,2020-07-07 05:05:00,Failed,25,0
16841,9037,59,,Electricity,44561.37,2021-02-25 03:44:00,Success,56,0
5356,9037,59,11583.0,Bill,98904.29,2022-03-01 14:16:00,Success,81,1
5016,9037,59,47919.0,Bill,45611.43,2022-03-21 21:59:00,Failed,29,0
8826,7077,60,20004.0,LoanEMI,75027.52,2020-11-04 23:59:00,Success,25,0
5773,4279,61,,Broadband,5929.01,2020-05-19 23:21:00,Failed,15,0
203,8553,62,40939.0,Bill,33741.47,2021-12-15 18:49:00,Failed,28,0
10271,8553,62,27593.0,CreditCard,51580.75,2022-02-22 04:58:00,Failed,14,0
12550,8553,62,19656.0,UPI,95467.9,2022-08-29 09:41:00,Success,61,0
12393,8948,63,26902.0,UPI,63700.47,2021-12-23 19:19:00,Failed,42,0
65,4465,64,465.0,Bill,33326.83,2020-06-23 06:20:00,Failed,14,0
7142,1360,65,45872.0,CreditCard,71775.82,2021-04-22 16:54:00,Failed,50,0
2996,1360,65,,Electricity,41486.63,2021-06-23 05:12:00,Success,54,0
14232,1360,65,,Broadband,23804.6,2021-08-26 22:12:00,Failed,29,0
8900,5981,67,,Water,13236.58,2020-06-28 04:13:00,Failed,20,0
1271,5981,67,5885.0,Bill,36731.4,2021-04-01 21:09:00,Failed,47,0
8952,5981,67,,Water,24212.8,2021-10-05 09:22:00,Failed,21,0
4834,5981,67,29102.0,CreditCard,54719.98,2022-12-24 05:19:00,Success,54,0
12356,7446,68,,Electricity,49294.43,2021-07-22 21:23:00,Success,42,0
11674,2662,69,11185.0,CreditCard,59815.38,2020-03-21 06:26:00,Success,41,0
10662,2662,69,25564.0,UPI,50598.36,2021-07-25 19:02:00,Success,49,0
15290,99,70,48116.0,UPI,4502.18,2020-02-25 08:15:00,Success,60,0
9647,99,70,17851.0,Bill,35710.5,2022-10-19 16:38:00,Success,34,0
7967,8644,72,44550.0,CreditCard,96390.71,2020-07-15 22:08:00,Success,73,0
3198,8644,72,40532.0,UPI,69580.78,2023-01-13 03:48:00,Success,25,0
19536,8612,75,45145.0,Bill,4139.84,2022-10-30 03:39:00,Success,63,0
13721,1773,76,,Broadband,20651.97,2020-04-11 12:44:00,Success,15,0
10921,1773,76,,Electricity,40686.85,2020-10-31 23:56:00,Failed,34,0
2734,243,79,,UPI,41749.71,2020-12-21 08:55:00,Success,55,0
19266,243,79,43298.0,CreditCard,10354.91,2022-04-20 00:48:00,Success,23,0
11554,243,79,7436.0,UPI,60531.37,2023-01-13 22:31:00,Failed,41,0
13865,5832,81,45742.0,LoanEMI,76351.8,2020-10-10 04:23:00,Failed,38,0
17922,5832,81,45742.0,UPI,76351.8,2020-10-11 04:55:00,Success,17,0
7316,5832,81,27279.0,Bill,68721.54,2023-02-23 01:57:00,Success,16,0
6087,5211,82,41087.0,UPI,42400.63,2021-06-22 03:22:00,Failed,46,0
3077,220,83,10698.0,LoanEMI,23038.55,2021-10-02 16:54:00,Failed,62,0
19583,2099,84,10861.0,Bill,72604.08,2020-06-10 00:43:00,Success,65,0
10234,2099,84,10861.0,LoanEMI,72604.08,2020-06-10 14:25:00,Success,40,0
642,2099,84,,Electricity,17145.13,2020-08-01 19:51:00,Success,23,0
18065,2741,86,34934.0,UPI,57133.94,2020-11-09 08:20:00,Failed,15,0
18660,2374,87,,Water,27684.29,2020-06-12 01:45:00,Success,0,0
1679,2374,87,41980.0,UPI,1356.76,2022-01-24 04:12:00,Success,28,0
4353,2213,88,,Electricity,42034.94,2021-05-19 19:30:00,Success,30,0
9201,6344,89,31243.0,Bill,13376.05,2020-05-13 09:36:00,Success,31,0
17199,9734,90,,Electricity,26416.12,2022-01-07 19:53:00,Failed,18,0
9882,9734,90,5678.0,UPI,30617.99,2022-05-21 21:44:00,Failed,28,0
14506,9584,91,18161.0,UPI,5773.9,2022-05-27 01:47:00,Success,33,0
18701,9584,91,18161.0,LoanEMI,5773.9,2022-05-29 17:38:00,Failed,36,0
12688,5906,92,24488.0,LoanEMI,45912.3,2022-10-31 08:29:00,Failed,48,0
17736,5906,92,37635.0,UPI,37252.74,2022-11-03 23:50:00,Failed,9,0
2239,5906,92,46182.0,LoanEMI,15882.48,2023-01-14 12:20:00,Failed,41,0
8448,24,93,,Water,46194.1,2020-02-20 16:04:00,Success,45,0
19102,24,93,,Broadband,15847.57,2020-10-20 04:29:00,Success,2,0
12360,24,93,49617.0,UPI,13100.93,2022-11-11 11:06:00,Success,28,0
4381,7087,94,,Water,1181.63,2020-11-17 00:45:00,Failed,34,0
16031,7087,94,24982.0,Bill,34618.62,2022-07-07 22:07:00,Failed,42,0
8382,2330,95,,Broadband,14719.0,2020-05-25 10:17:00,Failed,9,0
17176,8853,96,,Electricity,25491.06,2020-10-29 15:13:00,Success,4,0
18645,8853,96,,Water,38315.27,2020-11-05 02:15:00,Failed,3,0
10656,8853,96,23274.0,UPI,61156.66,2021-06-06 05:30:00,Failed,36,0
17752,7698,97,41493.0,Bill,33836.01,2020-03-27 09:18:00,Success,33,0
491,7698,97,10914.0,Bill,71436.18,2022-09-18 02:31:00,Success,30,0
10194,7698,97,22105.0,Bill,84664.37,2023-02-16 16:49:00,Success,61,0
19053,7698,97,22105.0,UPI,84664.37,2023-02-18 04:32:00,Success,82,1
2462,6919,99,,Electricity,49300.43,2020-04-01 21:20:00,Success,54,0
12578,6919,99,17894.0,UPI,78157.78,2021-10-08 11:20:00,Success,33,0
14972,1683,100,13681.0,UPI,93239.37,2022-09-25 17:33:00,Success,79,0
19229,4754,101,43472.0,Bill,52074.92,2020-05-13 07:27:00,Failed,56,0
8203,4754,101,,Electricity,14604.42,2020-07-29 06:50:00,Success,14,0
8916,9086,102,,UPI,20518.54,2021-06-27 15:52:00,Failed,26,0
5438,9086,102,30843.0,CreditCard,98305.84,2022-04-21 20:08:00,Failed,59,0
15375,4227,103,35091.0,LoanEMI,67101.35,2020-09-05 02:56:00,Failed,27,0
2720,6072,105,19277.0,LoanEMI,31654.25,2020-06-29 20:01:00,Success,29,0
3062,6072,105,19277.0,LoanEMI,31654.25,2020-07-01 02:17:00,Success,21,0
8622,6072,105,19433.0,Bill,2111.23,2022-01-20 20:23:00,Failed,20,0
2606,5760,106,16060.0,LoanEMI,18826.23,2022-05-16 23:36:00,Failed,42,0
4678,5760,106,12210.0,LoanEMI,26211.9,2022-10-04 12:43:00,Failed,30,0
19170,4868,107,43781.0,LoanEMI,64212.36,2020-04-18 00:20:00,Failed,24,0
10057,4868,107,36572.0,CreditCard,29096.41,2020-09-02 06:34:00,Failed,60,0
17784,4868,107,,Water,34577.12,2021-03-05 20:46:00,Success,14,0
19385,2605,108,20849.0,CreditCard,17938.67,2020-04-06 01:16:00,Success,50,0
11233,2605,108,42410.0,UPI,6216.21,2022-03-18 17:16:00,Failed,18,0
17104,2605,108,3040.0,Bill,85170.62,2022-07-25 21:36:00,Failed,100,1
11863,6339,109,19739.0,Bill,52648.77,2021-08-18 04:07:00,Failed,49,0
16227,6339,109,,Water,9393.75,2021-10-31 21:35:00,Failed,14,0
15129,555,112,,Broadband,47309.61,2020-11-06 11:28:00,Success,45,0
9678,9738,113,37338.0,Bill,61016.4,2020-07-11 17:36:00,Failed,34,0
5966,9738,113,37041.0,UPI,76719.9,2021-11-05 01:52:00,Success,32,0
13384,9738,113,,Broadband,43290.81,2021-11-26 10:06:00,Failed,55,0
10104,1457,114,8619.0,Bill,28145.04,2021-07-18 14:55:00,Failed,61,0
7358,1457,114,9104.0,CreditCard,72566.22,2021-08-29 11:28:00,Failed,27,0
18370,1457,114,4905.0,UPI,77708.12,2022-08-21 03:00:00,Failed,41,0
15294,1817,115,7110.0,UPI,51729.54,2020-06-25 05:37:00,Success,31,0
12832,9762,116,,Water,41499.11,2021-10-11 14:02:00,Success,63,0
10049,785,118,,Water,584.2,2020-11-10 02:48:00,Failed,34,0
13745,785,118,5078.0,CreditCard,88613.21,2022-09-26 23:54:00,Success,65,0
3896,7555,119,,Electricity,6599.69,2020-09-26 02:09:00,Success,16,0
17560,7995,121,,Electricity,37910.23,2020-08-30 14:15:00,Failed,31,0
5520,7995,121,,UPI,1216.77,2021-11-15 21:15:00,Failed,26,0
10262,4170,123,41653.0,UPI,67415.09,2020-03-13 04:08:00,Success,43,0
8125,7646,124,31184.0,LoanEMI,87608.33,2022-06-01 15:30:00,Failed,100,1
18469,6243,125,626.0,Bill,67453.49,2022-01-05 11:35:00,Success,24,0
16730,9287,126,30212.0,CreditCard,11500.98,2020-11-26 23:19:00,Success,33,0
6754,9287,126,42384.0,LoanEMI,75006.85,2021-01-06 21:52:00,Success,47,0
8088,9287,126,33414.0,LoanEMI,48623.07,2022-11-07 05:54:00,Success,41,0
18202,9287,126,33414.0,UPI,48623.07,2022-11-07 15:57:00,Success,21,0
15487,1842,128,29608.0,CreditCard,55027.79,2020-02-28 20:43:00,Success,42,0
11059,7266,130,,Water,8793.58,2020-12-08 17:17:00,Success,21,0
1808,6824,131,40111.0,LoanEMI,8718.4,2021-12-10 07:40:00,Failed,50,0
19965,7964,132,,Broadband,46098.21,2020-05-08 05:43:00,Failed,32,0
9598,7964,132,,Water,13310.44,2021-10-19 11:43:00,Failed,36,0
2809,7964,132,4871.0,CreditCard,52966.08,2022-02-08 00:12:00,Failed,44,0
8158,1723,133,26027.0,CreditCard,27947.93,2021-03-28 23:48:00,Failed,50,0
1582,1723,133,843.0,UPI,8920.96,2021-05-31 09:24:00,Success,36,0
3539,1723,133,,Broadband,48160.08,2021-11-30 01:19:00,Failed,26,0
17536,2520,134,,Water,39138.21,2020-04-11 10:29:00,Failed,2,0
18541,2520,134,28492.0,Bill,94561.25,2022-10-31 01:16:00,Failed,69,0
4990,453,135,35929.0,Bill,64955.56,2021-01-09 00:38:00,Success,12,0
5084,2154,136,,UPI,1206.21,2021-03-23 01:09:00,Failed,8,0
9556,2154,136,36445.0,UPI,86254.04,2021-11-09 02:27:00,Failed,59,0
9717,7740,137,11532.0,LoanEMI,129.79,2020-07-23 06:12:00,Failed,24,0
1116,7740,137,,Electricity,29633.35,2021-07-28 04:13:00,Failed,21,0
6747,8795,138,17989.0,LoanEMI,95074.48,2022-04-29 14:46:00,Failed,81,1
2316,8795,138,36463.0,Bill,64686.8,2022-05-31 08:11:00,Failed,34,0
18715,2571,139,5281.0,UPI,89578.55,2020-04-29 21:05:00,Failed,89,1
3956,2571,139,,Electricity,38162.88,2020-07-02 13:58:00,Failed,30,0
3004,3301,142,28592.0,LoanEMI,67449.33,2020-03-21 20:07:00,Failed,23,0
17291,5851,143,6558.0,LoanEMI,27756.53,2021-04-07 21:03:00,Success,36,0
18337,5851,143,,Electricity,24033.34,2022-02-05 13:13:00,Success,21,0
3903,8522,144,44221.0,LoanEMI,79704.25,2021-08-07 04:22:00,Failed,27,0
10763,8522,144,44221.0,CreditCard,79704.25,2021-08-10 21:23:00,Success,17,0
5657,1469,145,,Broadband,36477.17,2020-03-10 05:55:00,Success,29,0
10879,254,146,37500.0,LoanEMI,46498.15,2020-03-04 14:05:00,Success,42,0
5720,254,146,22931.0,CreditCard,15354.46,2021-01-08 00:31:00,Failed,29,0
6816,254,146,,UPI,32224.05,2021-03-30 04:57:00,Failed,13,0
395,254,146,,UPI,38996.55,2021-08-20 06:11:00,Failed,14,0
16816,254,146,27814.0,LoanEMI,75906.26,2021-09-16 12:48:00,Success,28,0
10646,254,146,23575.0,Bill,33046.09,2022-03-19 05:49:00,Success,22,0
11493,333,148,,Electricity,2159.75,2020-10-01 17:44:00,Success,23,0
11958,6490,149,,Electricity,2903.21,2021-10-23 21:05:00,Success,0,0
17500,6490,149,46564.0,Bill,17208.49,2022-11-19 18:15:00,Success,37,0
6540,5148,150,6970.0,CreditCard,78752.9,2022-04-03 07:06:00,Failed,7,0
17648,5148,150,6970.0,CreditCard,78752.9,2022-04-05 14:03:00,Failed,36,0
17321,487,151,12758.0,Bill,16261.91,2021-09-20 15:06:00,Success,45,0
11016,487,151,33736.0,LoanEMI,85799.33,2022-07-01 06:36:00,Success,100,1
685,487,151,7180.0,LoanEMI,38413.59,2022-08-23 06:19:00,Success,32,0
17492,487,151,7180.0,CreditCard,38413.59,2022-08-27 00:53:00,Failed,24,0
794,487,151,7180.0,LoanEMI,38413.59,2022-08-27 15:40:00,Failed,52,0
10130,487,151,7830.0,UPI,63024.07,2022-10-04 07:22:00,Failed,47,0
2480,6180,152,41420.0,Bill,84731.41,2021-12-10 10:56:00,Success,65,0
13449,2643,154,21493.0,CreditCard,51100.05,2020-09-14 16:25:00,Success,43,0
18589,2643,154,,UPI,22922.42,2021-10-29 19:02:00,Failed,2,0
9576,2499,155,,UPI,48922.79,2020-06-23 04:09:00,Failed,44,0
9232,2499,155,39092.0,CreditCard,83358.17,2020-10-27 01:50:00,Failed,85,1
121,2499,155,39092.0,UPI,83358.17,2020-10-30 22:19:00,Failed,100,1
19631,2499,155,,Electricity,14517.32,2021-03-20 18:46:00,Failed,22,0
11114,2499,155,,UPI,41535.3,2022-01-21 00:39:00,Failed,50,0
10315,2441,156,11907.0,CreditCard,97039.12,2021-06-22 12:46:00,Failed,91,1
17923,2441,156,32073.0,Bill,25023.76,2022-01-31 18:53:00,Failed,46,0
11213,2441,156,41488.0,LoanEMI,50819.21,2023-02-05 06:38:00,Failed,31,0
16900,7555,157,,Electricity,26135.47,2021-12-04 05:20:00,Success,24,0
11969,409,159,,Broadband,6258.74,2021-08-18 14:05:00,Failed,25,0
3880,409,159,,Water,42079.79,2021-11-01 13:16:00,Success,61,0
2035,409,159,887.0,Bill,83027.29,2022-08-25 18:58:00,Success,89,1
6542,7641,160,47203.0,UPI,97318.73,2020-08-16 23:57:00,Failed,73,0
4814,7641,160,,Broadband,3974.64,2021-02-10 15:30:00,Success,39,0
11017,7641,160,6014.0,Bill,78949.4,2021-03-09 23:42:00,Success,19,0
7705,7641,160,24799.0,Bill,32790.73,2022-02-13 05:42:00,Success,17,0
5011,9936,162,13085.0,UPI,38937.49,2022-12-21 00:28:00,Success,24,0
9995,9858,163,44403.0,Bill,89414.14,2021-03-06 19:22:00,Success,78,0
6901,9858,163,14028.0,CreditCard,13131.6,2021-07-07 01:07:00,Failed,53,0
19757,9858,163,28913.0,LoanEMI,46005.18,2022-02-22 07:09:00,Failed,27,0
13903,9858,163,38255.0,CreditCard,26333.18,2022-04-29 18:06:00,Success,34,0
14645,3506,164,15832.0,CreditCard,62772.91,2020-06-08 14:06:00,Failed,38,0
8446,3506,164,,UPI,15717.75,2020-09-22 14:54:00,Success,14,0
5104,3506,164,30291.0,UPI,48727.44,2021-04-21 02:51:00,Success,46,0
2883,5086,165,31515.0,CreditCard,6772.31,2021-07-05 13:46:00,Success,9,0
3302,5086,165,5408.0,UPI,3644.51,2021-08-03 13:05:00,Success,24,0
7164,5086,165,11651.0,UPI,69088.08,2022-01-08 05:49:00,Failed,35,0
4914,5086,165,12004.0,CreditCard,11952.08,2022-12-07 18:42:00,Success,2,0
17033,1122,167,,UPI,4076.82,2021-11-16 00:42:00,Failed,2,0
7499,9832,169,34191.0,LoanEMI,47239.96,2022-04-22 18:51:00,Failed,32,0
19627,9832,169,15743.0,UPI,753.2,2022-06-26 17:48:00,Failed,21,0
17766,66,170,,UPI,9132.67,2020-08-26 20:58:00,Failed,19,0
14080,66,170,,Broadband,9352.28,2020-12-11 14:40:00,Failed,1,0
3677,66,170,11650.0,UPI,84187.3,2021-01-15 23:51:00,Failed,100,1
13946,66,170,35546.0,UPI,33020.12,2021-05-05 18:01:00,Failed,35,0
10736,66,170,8429.0,LoanEMI,16073.71,2022-12-13 17:37:00,Failed,54,0
5188,7860,171,,UPI,30627.32,2020-08-16 14:26:00,Success,12,0
6567,7860,171,1365.0,CreditCard,46470.1,2022-08-06 20:52:00,Success,46,0
13063,5607,172,,Electricity,1483.22,2020-11-09 04:11:00,Failed,5,0
7831,5607,172,37814.0,CreditCard,79909.61,2022-01-08 06:46:00,Success,44,0
15221,4292,173,21137.0,CreditCard,89812.52,2021-11-03 07:19:00,Failed,87,1
15246,4292,173,28509.0,CreditCard,73627.96,2022-03-04 17:01:00,Failed,39,0
10804,5823,175,42908.0,Bill,71738.62,2021-01-12 21:51:00,Success,12,0
7783,5823,175,44324.0,LoanEMI,97371.84,2021-02-08 04:06:00,Failed,66,0
10572,5823,175,30919.0,UPI,1006.6,2022-09-12 08:17:00,Failed,34,0
1490,2811,176,,Electricity,6155.36,2022-01-25 19:44:00,Failed,18,0
3664,9053,177,45915.0,UPI,10798.7,2021-04-20 19:11:00,Failed,42,0
17151,9053,177,45915.0,CreditCard,10798.7,2021-04-20 19:25:00,Success,17,0
10821,9053,177,44143.0,CreditCard,89795.89,2021-05-10 17:02:00,Success,79,0
904,9053,177,35766.0,LoanEMI,31176.1,2021-10-22 18:52:00,Failed,42,0
19349,9053,177,29176.0,LoanEMI,65934.58,2021-11-20 17:25:00,Success,13,0
6806,3670,180,36419.0,Bill,66635.09,2020-06-07 20:35:00,Failed,62,0
252,3670,180,,Water,44298.43,2020-08-18 19:24:00,Success,55,0
4667,3670,180,,Electricity,45837.11,2020-12-30 20:14:00,Failed,51,0
4842,3670,180,31385.0,LoanEMI,36438.72,2022-02-19 16:48:00,Failed,27,0
18588,3670,180,25240.0,LoanEMI,9877.84,2022-09-14 13:40:00,Success,35,0
12768,4716,181,10546.0,LoanEMI,18564.72,2020-10-06 00:51:00,Failed,18,0
76,4716,181,10546.0,Bill,18564.72,2020-10-07 13:16:00,Success,9,0
5055,8958,182,12441.0,UPI,19501.28,2020-07-08 09:11:00,Failed,19,0
5611,8958,182,,UPI,39236.04,2021-09-27 12:27:00,Success,1,0
5525,1680,184,3139.0,CreditCard,8832.25,2020-12-31 23:53:00,Failed,39,0
13470,1148,185,27300.0,CreditCard,68675.7,2021-03-03 12:19:00,Failed,22,0
722,9781,186,34054.0,LoanEMI,90609.96,2022-11-29 02:11:00,Success,89,1
4449,4541,187,44151.0,Bill,99932.27,2020-03-31 07:52:00,Success,81,1
18980,4541,187,30662.0,LoanEMI,28424.16,2020-09-06 09:27:00,Failed,26,0
16266,4541,187,46377.0,CreditCard,7447.57,2021-04-17 15:43:00,Success,43,0
6977,4541,187,9482.0,UPI,50204.37,2022-07-31 08:47:00,Failed,20,0
13584,9582,188,7874.0,Bill,41679.46,2020-07-09 20:56:00,Success,21,0
16669,9582,188,39775.0,UPI,74457.63,2020-07-24 02:53:00,Success,63,0
9725,9582,188,39775.0,Bill,74457.63,2020-07-29 02:03:00,Failed,54,0
19202,9582,188,39775.0,CreditCard,74457.63,2020-07-30 16:19:00,Success,70,0
17779,9582,188,,Electricity,42587.68,2022-01-11 04:23:00,Success,52,0
9580,8348,189,13283.0,CreditCard,8316.02,2021-01-09 09:07:00,Failed,64,0
16518,8348,189,42118.0,Bill,33413.56,2022-10-14 05:20:00,Failed,3,0
607,8348,189,42118.0,LoanEMI,33413.56,2022-10-15 05:48:00,Success,2,0
